dataset,target_model,budget,source,analysis_target,family,method,crc,n1,seeds,coverage_mean,coverage_variance,coverage_mse_to_target,coverage_bias,size_mean,infinite_rate_mean,expected_cost_mean,realized_cost_mean,conditional_variance_mean,split_budget_valid_rate,crc_selector_valid_rate,static_coverage_variance,static_coverage_mse_to_target,static_conditional_variance_mean,coverage_variance_ratio_to_static,coverage_mse_to_target_ratio_to_static,conditional_variance_mean_ratio_to_static
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Endpoint/block,Endpoint/block,False,,50,0.6979733335971833,0.0003191057369302875,0.00031683099889998783,-0.002026666402816679,167.68420593261717,0.396753334403038,19.662183799122335,,2.202825088712328,0.98,,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.516694409887302,0.5233282531365885,0.4889127926438886
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Endpoint/block,Endpoint/block + CRC,True,50.0,50,0.6993933343887329,0.000547513180532134,0.0005369309600853852,-0.0006066656112670987,167.99291229248047,0.3992266643047333,13.054348536225316,,3.9541610721559777,0.98,1.0,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.8865305977948401,0.8868802054471153,0.8776184465384024
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Endpoint/block,Endpoint/block + CRC,True,100.0,50,0.6994200038909912,0.0004796045046284619,0.00047034881002235804,-0.000579996109008718,167.99721954345702,0.39923333406448364,16.507490971053635,,3.0992009108567338,1.0,1.0,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.7765732101282521,0.776902582034195,0.6878616827345059
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Endpoint/block,Endpoint/block + CRC,True,200.0,50,0.7001599991321563,0.0004697426421683387,0.00046037338904726254,0.0001599991321563632,168.20577239990234,0.40038666427135466,18.27779006833696,,3.0350005780975216,0.92,1.0,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.7606049318602363,0.7604255969812056,0.6736125423289362
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Information-gain,Information-gain,False,50.0,50,0.7006066644191742,0.0003268830444455981,0.00032071342527417815,0.0006066644191742299,168.21771392822265,0.4007133311033249,20.554932889403673,,2.745043255085581,0.36,,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.5292873872364161,0.5297410833817053,0.6092570720431939
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Information-gain,Information-gain,False,100.0,50,0.7022733354568481,0.00039238861901038974,0.00038970890072954504,0.002273335456848158,168.6165930175781,0.40345999896526336,20.400151265003693,,2.575613859544004,0.48,,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.6353536852593746,0.6437049372020296,0.5716525434972526
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Information-gain,Information-gain,False,200.0,50,0.6954800045490265,0.00047629098874220165,0.00048719552784417847,-0.00451999545097348,167.15517333984374,0.3933000004291534,20.19865645823165,,3.1954105006260294,0.42,,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.7712079818124808,0.8047292891411006,0.7092152161831037
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Information-gain,Information-gain + CRC,True,50.0,50,0.7036133325099945,0.0007014936087567128,0.0007005199084093621,0.0036133325099945157,168.84122650146483,0.4054799997806549,12.973288722374145,,5.317532572839053,1.0,1.0,0.0006175908444604399,0.0006054154290372224,4.505558295580964,1.1358549354299037,1.1570896194756417,1.1802161294981957
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Information-gain,Information-gain + CRC,True,100.0,50,0.69874666929245,0.000497412896560762,0.0004890354764920345,-0.00125333070754996,167.8767984008789,0.3986066657304764,16.676976958287657,,3.9319735775314,0.96,1.0,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.8054084690898037,0.8077684397137612,0.8726939747706441
autoif,llama_31_8B_instruct,20.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_20_calibration_upb_unified_aht_v2,0.7,Information-gain,Information-gain + CRC,True,200.0,50,0.7023533308506011,0.0005139927604903162,0.0005092510713729016,0.0023533308506011874,168.60039978027345,0.4036866647005081,18.38390297806429,,3.9002382558700317,0.96,1.0,0.0006175908444604399,0.0006054154290372224,4.505558295580964,0.8322545016666617,0.841159717687987,0.865650381151515
