dataset,target_model,budget,source,family,method,crc,n1,seeds,cjr_mean,cjr_variance,cjr_bias,cjr_mae,cjr_mse,rmttu_mean,rmttu_variance,rmttu_bias,rmttu_mae,rmttu_mse,expected_cost_mean,realized_cost_mean,split_budget_valid_rate,crc_selector_valid_rate,estimator_kind,static_cjr_variance,static_cjr_mse,static_cjr_mae,static_rmttu_variance,static_rmttu_mse,static_rmttu_mae,cjr_variance_ratio_to_static,cjr_mse_ratio_to_static,cjr_mae_ratio_to_static,rmttu_variance_ratio_to_static,rmttu_mse_ratio_to_static,rmttu_mae_ratio_to_static,joint_geometric_mse_ratio,joint_worst_mse_ratio
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block,False,,50,47.39673415271629,8.171466375250029,-0.11993251395038129,2.1367304498944755,8.022420855647486,45.00517157392947,28.594522766329455,0.5982967931507887,4.426222448678566,28.38059136369738,9.955262749369254,10.18818,0.78,,terminal_residual,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.3007344558565508,0.2788505025635039,0.5181208520098184,0.6375560689215487,0.6228877712638433,0.8087169469486055,0.41676440353943806,0.6228877712638433
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block + CRC,True,50.0,50,47.53093862634726,62.21828250808281,0.014271959680600332,5.896456102368193,60.97412054675428,46.24314101559,316.4903748914721,1.836266234811319,13.432892950037203,313.53244107875094,2.2950565443863558,2.2504133333333334,1.0,1.0,terminal_residual,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,2.28981929009344,2.119393193621955,1.429790481877758,7.056608739940715,6.88130564087769,2.454329465181934,3.818925547651923,6.88130564087769
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block + CRC,True,100.0,50,48.12577167223049,24.579486201537343,0.6091050055638241,3.8475697995136304,24.4589053853095,46.566216276728916,52.78303564429774,2.159341495950253,5.778600549287501,56.39013062754445,6.1250472043244635,6.112553333333334,1.0,1.0,terminal_residual,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.9045987670513734,0.8501645801897135,0.9329703439147878,1.1768738015362312,1.2376318145645628,1.0558105129240638,1.0257634873881576,1.2376318145645628
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Information-gain,Information-gain,False,50.0,50,47.65432453140481,20.362787063873405,0.13765786473814173,3.421409927039258,19.974481010320204,44.70717931218737,87.28694243110309,0.3003045314086913,7.209365306530551,85.63138639406564,10.177560458858313,10.22272,0.4,,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.7494115996028199,0.6942909339207699,0.829633811115472,1.946188098305485,1.8794091616237432,1.3172261375781535,1.1423032618543114,1.8794091616237432
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Information-gain,Information-gain,False,100.0,50,47.1485495548337,16.559779873030436,-0.3681171118329655,3.222322396195868,16.364094483594073,43.78020744978559,60.021393359862174,-0.6266673309930784,6.136372497455579,59.21367743639892,10.129965509638755,10.207333333333333,0.46,,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.60944953580228,0.5687978794498909,0.7813584654301037,1.33826341199748,1.2996020799578407,1.1211791745720392,0.8597737535007028,1.2996020799578407
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Information-gain,Information-gain + CRC,True,50.0,50,47.79435780522942,17.718429190129047,0.27769113856275157,3.358137955529376,17.441172974762743,45.145304359193936,99.67766096650774,0.7384295784152615,7.904676251026688,98.22938598945612,9.473439133569174,9.544173333333331,0.74,1.0,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.6520913036203057,0.6062359401010339,0.8142914323944406,2.222457014038119,2.1559058628303687,1.4442666898171723,1.1432355914343724,2.1559058628303687
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Information-gain,Information-gain + CRC,True,100.0,50,47.400772470306016,23.670225103621522,-0.11589419636064506,3.7649663988643622,23.210252066299173,43.68553114244723,106.24492485202123,-0.7213436383314352,7.64372806962206,104.64036299954203,9.82901640541231,9.866966666666666,0.64,1.0,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.8711352332183926,0.8067627677195405,0.9129404218788002,2.368883621001768,2.296611852013672,1.3965887389179028,1.36118365186629,2.296611852013672
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Oracle,Oracle,False,,50,47.394,0.2964938775510207,-0.12266666666666595,0.43266666666666653,0.3056111111111112,44.17954163513495,1.2267148829939476,-0.22733314564372237,0.8888789461592707,1.253860944442339,126.15182666666665,126.15182666666665,1.0,,ordinary_ht,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.01091186340803816,0.010622705222742413,0.10491431990434374,0.027351375117549245,0.02751932259443648,0.1624074424364799,0.01709765047748531,0.02751932259443648
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Residual,Residual,False,50.0,50,47.39901724527818,19.924722692586915,-0.11764942138847545,3.557281659573645,19.54006962508822,44.186397893035554,85.7738892861388,-0.22047688774312774,7.570254493243632,84.1070215584449,10.16881856663039,10.263986666666668,0.42,,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.7332895176802893,0.6791912731985363,0.8625803991271903,1.9124523992327689,1.8459529096773046,1.3831643511788958,1.1197120643220164,1.8459529096773046
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Residual,Residual,False,100.0,50,47.4954051288444,19.275388303456733,-0.021261537822271206,3.5588818092570325,18.890332590378172,44.50418330130453,89.33832082600594,0.09730852052585683,7.700757932477213,87.56102335765274,10.106896079574286,10.215653333333334,0.48,,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.7093920658379281,0.6566071303415242,0.8629684082545657,1.9919265341595325,1.9217601913184434,1.407008688910901,1.1233171611019666,1.9217601913184434
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Residual,Residual + CRC,True,50.0,50,46.67076477016518,20.869558469212283,-0.8459018965014979,3.662293740159482,21.167717318332862,43.020932445864446,95.12521141969074,-1.3859423349142292,7.929199590443357,95.1435433470044,9.419542415519611,9.513200000000001,0.74,1.0,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.7680623063217328,0.7357665121973841,0.888044045544147,2.120953594633267,2.088178815800392,1.4487473593750149,1.2395208929848331,2.088178815800392
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Residual,Residual + CRC,True,100.0,50,47.97000397164967,25.0489653707753,0.4533373049830041,3.9145758112069173,24.753500775449048,45.063690130635585,123.4390136800207,0.6568153498569189,8.802164494832006,121.40163981022793,9.84726621139175,9.933033333333334,0.62,1.0,sequential,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.9218770077015949,0.8604043910985959,0.9492181639755822,2.7522505955601066,2.6644827755737484,1.6082471406120011,1.5141111848573827,2.6644827755737484
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix,False,50.0,50,47.68431153006395,18.699683033144073,0.16764486339728463,3.281055391082585,18.353794172704685,44.88627246083377,41.97286698401095,0.4793976800551006,5.468882384244738,41.36323177997294,10.10130013085002,10.24658,0.48,,ordinary_ht,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.6882043862648198,0.6379576465878071,0.7956002193927044,0.935845521688633,0.9078264411591366,0.9992217780034577,0.7610222203799749,0.9078264411591366
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix,False,100.0,50,47.295888609501844,24.951011062749018,-0.22077805716482302,3.885626701681727,24.500733792019506,44.67007040020767,59.27388905439056,0.26319561942900094,6.4142605351620094,58.157683207389354,10.092406147668394,10.131666666666666,0.48,,ordinary_ht,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.9182719955568576,0.8516184894824808,0.9421984964771115,1.3215967268986264,1.2764254701632816,1.1719522136710065,1.0426061244964078,1.2764254701632816
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix + CRC,True,50.0,50,47.36238127589928,19.61103252509689,-0.154285390767386,3.4085122485217068,19.2426158563992,44.6829168135333,40.56763743154359,0.2760420327546342,5.16842767513864,39.83248388676003,9.503311552280904,9.599353333333333,0.82,1.0,ordinary_ht,27.17169987049235,28.769612325946955,4.124000108480453,44.85020872705081,45.56292910697697,5.473141703508602,0.7217447792581384,0.6688521082032283,0.826506343080001,0.9045139049057703,0.8742300959896047,0.9443255729749109,0.7646768224271987,0.8742300959896047
