setup,method,n,estimate_mean,estimate_bias,across_split_variance_pp2,mean_conditional_variance_pp2,mean_estimated_conditional_variance_pp2,expected_total_cost,expected_total_cost_sd,realized_total_cost,phase2_expected_cost,selector_valid
toxicity,old_noncausal_crc,50,49.6049560655858,0.17162273225246594,9.556289618629295,7.85268098316654,7.791355175203541,18.461215522449123,1.4797051951192741,18.50268,16.66385985333809,1.0
toxicity,no_crc,50,49.94375461783588,0.5104212845025415,8.067628459232559,7.26518777615622,7.34403925375494,19.385206459657795,1.761805760084124,19.460106666666665,17.60351165388928,
toxicity,causal_pav_crc,50,49.328971386491055,-0.10436194684228184,10.584043786481896,7.6976713769298195,7.6275050006052,18.354495463324795,1.4015242206264953,18.351626666666665,16.555330979652336,1.0
red,old_noncausal_crc,50,75.0545544410024,0.5878877743357265,9.532604843471296,11.592293746024138,11.70779731494254,17.88686093182965,1.3450481684300661,17.98614,16.545851795081,1.0
red,no_crc,50,75.20729044185414,0.7406237751874727,7.159062262436104,10.3238393904036,10.471680954236861,19.049637450704278,1.7003663201694774,19.164333333333335,17.728336390546723,
red,causal_pav_crc,50,74.86897218085734,0.4023055141906724,7.812584325319255,11.34122969014142,11.42905737824288,17.930462701769194,1.351978622184129,18.03992,16.590192578070365,1.0
