dataset,model,budget,target,n1,crc,method,seeds,coverage_mean,coverage_var,mean_A_weight,mean_A_weight_minus1,cond_var,seq_path_var,expected_cost,realized_cost,pi_min,focus_lift,target_rate,soft_proxy,static_coverage_var,static_mean_A_weight,static_cond_var,static_expected_cost,coverage_var_ratio,mean_A_weight_ratio,cond_var_ratio
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Endpoint/block + terminal residual AHT,50,0.6979733335971833,0.0003191057369302866,1.6500793390976116,0.6608475266136984,2.202825088712328,0.6608475266136984,19.66218379912233,,0.005,,,,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.5166944098873005,0.5524572665346558,0.4889127926438886
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Endpoint/block + terminal residual AHT + CRC,50,0.6996577791372935,0.000492383158992749,2.353546942088921,1.0088362561110233,3.3627875203700777,1.0088362561110233,15.94654319187197,,0.005,,,,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.7972643432285997,0.7879827832996863,0.7463642238672815
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Information-gain + sequential AHT,50,0.7006066644191742,0.00032688304444559784,10.146390787817658,2.9904064625029076,2.745043255085581,0.8235129765256743,20.554932889403673,,0.005,2.0322179666064475,,0.9488555550358229,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.5292873872364157,3.3970774538002755,0.6092570720431939
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Information-gain + sequential AHT + CRC,50,0.7036133325099945,0.0007014936087567129,14.695258109951755,4.551370479663223,5.3175325728390535,1.595259771851716,12.973288722374145,,0.005,1.9858142493821704,,1.8746557712533036,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,1.135854935429904,4.920067741036616,1.1802161294981959
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Oracle,50,0.6991066658496856,0.00013830129716024367,0.3019933333333333,0.0,,,126.15182666666668,,,,,,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.2239367671991171,0.10110932698318756,
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Residual + sequential AHT,50,0.6990666615962983,0.0004837233403439343,13.804755988983693,4.034633760350487,3.0750579934110736,0.9225173980233221,20.428438855765165,,0.005,2.087066918537891,,36.49553613754174,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.7832424082752403,4.62192185438951,0.6825032086316761
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Residual + sequential AHT + CRC,50,0.6975066649913788,0.0006679376289550932,19.661889769762443,5.989319377108809,6.342529607585158,1.9027588822755472,12.984495915703157,,0.005,2.069828828205796,,81.73419530619235,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,1.0815212611168787,6.582928238498537,1.4077122504009967
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Soft-prefix DAPRO,50,0.7099933338165283,0.001957820901454788,4.5813617863010885,1.4825942087244386,14.311539287670296,4.293461786301089,20.096111152607595,,0.005,2.2608527497565127,,3.875094754314889,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,3.1700937910846845,1.5338696446259203,3.1764186253470528
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Soft-prefix DAPRO + CRC,50,0.7004066705703735,0.0036947543126170162,8.940407044680342,3.0151474238064866,28.807423482267808,8.642227044680341,13.208633534173988,,0.005,2.2386723807863156,,7.685365402916368,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,5.982527664970405,2.9933062735713096,6.393752248311165
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Endpoint/block + terminal residual AHT,50,0.6979733335971833,0.0003191057369302866,1.6500793390976116,0.6608475266136984,2.202825088712328,0.6608475266136984,19.66218379912233,,0.005,,,,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.5166944098873005,0.5524572665346558,0.4889127926438886
