setup_key,dataset,data_setup,task,seed,n1,budget,projection_margin,cut_quantile,fit_low_share,deploy_low_share,empty_low_cells,empty_high_cells,runtime_seconds,raw_fit_phase2_cost,raw_deploy_phase2_cost,raw_projection_cost_gap,projection_space,projection_raw_base_phase1_expected_cost,projection_pre_intercept_mixed_phase1_expected_cost,projection_raw_phase1_expected_cost,projection_budget_logit_shift,projection_corrected_phase1_expected_cost,projection_budget_boundary,expected_cost_per_sample,exact_target_variance_pp2,fit_soft_surrogate,deploy_soft_surrogate,fit_mean_endpoint_pi,deploy_mean_endpoint_pi,deploy_min_endpoint_pi,estimate,realized_cost_per_sample,observed_phase2_target_events,selected_index,selected_tau,coverage_pct,oracle_selected_index,oracle_selected_tau,oracle_fixed_coverage_pct,selected_exact_variance_pp2,switched_from_oracle
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.1,0.15322112594312245,0.12351960491341753,0,0,4.134739500000251,18.754915187331047,22.90548935638636,4.150574169055314,cumulative_probability,18.754915187327846,18.833440611391207,18.754915187327846,-0.0103275178844342,18.75491525399172,,23.098773851036643,1.9011944932842062,0.33056319271785506,0.4536017144754363,0.6869892147866051,0.6701848179621869,0.18304683270328564,0.9489575105585148,22.529666666666667,1943,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.2,0.23447475333720255,0.1937292587408188,0,0,4.185308599999189,18.754903437456132,22.956450730195115,4.201547292738983,cumulative_probability,18.75490343745293,18.833428920265668,18.75490343745293,-0.01032699947245419,18.75491525420983,,23.148571463643226,1.890528393047351,0.3305008192439232,0.45072197524731983,0.6873997708060894,0.6707697784344199,0.18597120550203466,0.9519764258022819,22.676333333333332,1949,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.3,0.3366221706326175,0.2657554929931898,0,0,4.158519000000524,18.754904336305188,23.020480792866163,4.265576456560975,cumulative_probability,18.754904336301987,18.83342981462048,18.754904336301987,-0.01032798973028548,18.754915254119698,,23.211109216758487,1.8771730908831872,0.3304539665117203,0.4469953784788778,0.6879987771539726,0.6717085902054085,0.18568485537200394,0.95324514765434,22.614333333333335,1953,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.4,0.4051073708647707,0.34400213900379045,0,0,3.8722832999992534,18.754900545822576,23.012282906191246,4.25738236036867,cumulative_probability,18.754900545819655,18.833426043090558,18.754900545819655,-0.010326023839297704,18.75491525411003,,23.203103673789688,1.8767359719541334,0.33051944936086697,0.447057669903371,0.6894432393274154,0.6717891152967104,0.23825785298713476,0.9477375304890682,22.382,1945,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.5,0.4799767846778874,0.4125682200657429,0,0,3.592119200000525,18.75483707877033,23.027516615004235,4.272679536233905,cumulative_probability,18.754837078767128,18.83336289337329,18.754837078767128,-0.0103174689138541,18.754915253821427,,23.218090760004934,1.8749823894700939,0.33054797640880984,0.44646590085085924,0.6892856970496392,0.6718764039934049,0.23825277094365993,0.9507031767855142,22.722333333333335,1950,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.6,0.5821242019733024,0.4703842342838269,0,0,3.2079474000001937,18.754915137354963,23.14891365360849,4.393998516253525,cumulative_probability,18.75491513735176,18.833440561665004,18.75491513735176,-0.010327709533157758,18.75491525397598,,23.336649940861356,1.8532089188424588,0.3305365504879281,0.44004038149316776,0.6891589955403606,0.6734960077195732,0.2382593250145548,0.9509956742697295,22.944666666666667,1954,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.7,0.656993615786419,0.537078687029144,0,0,3.628541599999153,18.754900542475298,23.125960658711872,4.371060116236574,cumulative_probability,18.754900542472097,18.83342603975974,18.754900542472097,-0.010326020928914659,18.754915254188322,,23.314288869026917,1.8570667131528826,0.33052926587356596,0.44106561444693754,0.6888981997223016,0.6732644984852614,0.23826129532605467,0.9493264118075471,22.895666666666667,1951,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.8,0.7527568195008706,0.6302433116811627,0,0,3.0517822000001615,18.754909025292832,23.04975985518986,4.294850829897026,cumulative_probability,18.75490902528963,18.83343448016318,18.75490902528963,-0.010325741532142274,18.75491525422573,,23.239798515197666,1.870913832573439,0.3306294891115544,0.44506353498266404,0.6876678381157985,0.6721948114758692,0.23824467763868437,0.9483723710517872,22.856666666666666,1948,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.9,0.8403946604759142,0.7373429169091396,0,0,2.948756699999649,18.754915173263285,22.971637396339343,4.216722223076058,cumulative_probability,18.754915173260088,18.833440597393782,18.754915173260088,-0.010325489784008823,18.754915253700474,,23.163366329172494,1.890320014848297,0.3306954714371056,0.44839464286753555,0.6863524256004797,0.6707388229849999,0.2382249928982726,0.9486853875890541,22.730666666666668,1945,,,,,,,,
hallucination_qwen,dataset_hallucination3,attack_hallucination_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,lpb,0,50,20.0,1.0,0.1,0.11824324324324324,0.1579848746905416,4,0,0.0742802999993728,17.76,19.991186440677968,2.2311864406779662,cumulative_probability,17.75999999998224,17.759999999982327,17.75999999998224,80.0,17.76,maximum,19.954,0.0,0.0,0.0,1.0,1.0,1.0,0.096,19.954,2950,284.0,0.0012045111118684287,90.33333333333333,284.0,0.0012045111118684287,90.33333333333333,0.0,0.0
