setup_key,dataset,data_setup,task,seed,n1,budget,projection_margin,cut_quantile,fit_low_share,deploy_low_share,empty_low_cells,empty_high_cells,runtime_seconds,raw_fit_phase2_cost,raw_deploy_phase2_cost,raw_projection_cost_gap,projection_space,projection_raw_base_phase1_expected_cost,projection_pre_intercept_mixed_phase1_expected_cost,projection_raw_phase1_expected_cost,projection_budget_logit_shift,projection_corrected_phase1_expected_cost,projection_budget_boundary,expected_cost_per_sample,exact_target_variance_pp2,fit_soft_surrogate,deploy_soft_surrogate,fit_mean_endpoint_pi,deploy_mean_endpoint_pi,deploy_min_endpoint_pi,estimate,realized_cost_per_sample,observed_phase2_target_events,selected_index,selected_tau,coverage_pct,oracle_selected_index,oracle_selected_tau,oracle_fixed_coverage_pct,selected_exact_variance_pp2,switched_from_oracle
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.1,0.11414296694850115,0.13924835308002928,0,0,3.2246149999996305,17.574913326580216,16.240662129506685,-1.334251197073531,cumulative_probability,17.57491332658022,18.00743875994732,17.57491332658022,-0.03022200115083251,17.57491525346931,,17.707314505378697,11.422736427853957,3.6288670681092436,3.4105748900843236,0.16801162563042196,0.1682314536275013,0.05739709846547948,0.7492150232247334,18.912,399,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.2,0.20599538816295157,0.2362669113552549,0,0,2.5483494999998584,17.574911867934293,16.333659940178638,-1.2412519277556555,cumulative_probability,17.574911867934293,18.007437308594625,17.574911867934293,-0.030247515460359864,17.574915253593208,,17.79644366274935,11.268239060445557,3.6123818945859814,3.3741755716741806,0.1699685384806303,0.16938968878832703,0.07128844954938571,0.7409055890181616,18.930333333333333,400,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.3,0.308032282859339,0.3312857007771431,0,0,2.9144507000000885,17.574905450733283,16.373390011986693,-1.2015154387465898,cumulative_probability,17.574905450733283,18.007430923479617,17.574905450733283,-0.030260382263804786,17.574915253399066,,17.834638974066248,11.248961312452924,3.602750007810942,3.3570631920600236,0.16926923451889217,0.16927900400303555,0.07743126913703685,0.7530335229617857,18.55,403,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.4,0.39757878554957726,0.4203296991941387,0,0,2.5193319999998494,17.574909326540805,16.398814524433927,-1.1760948021068778,cumulative_probability,17.574909326540805,18.007434779908102,17.574909326540805,-0.030264766901382245,17.574915254152874,,17.858990131694323,11.271287742911131,3.599808331126211,3.347044824549447,0.1687410326948044,0.16899705630497183,0.08289209015736583,0.7386017927956006,18.566,398,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.5,0.49250576479631053,0.5003729866600358,0,0,2.8934699999999793,17.574914664856486,16.49627596086517,-1.0786387039913166,cumulative_probability,17.574914664856486,18.007440091532207,17.574914664856486,-0.03026506572496146,17.574915253323667,,17.952366239705853,11.222813190874074,3.6002889815574464,3.324450058053685,0.1686331644414425,0.17047207986232316,0.09709234686676858,0.7438648853559086,18.229,402,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.6,0.5916602613374328,0.5965615182833508,0,0,2.53397380000024,17.57491274793464,16.448061915880064,-1.1268508320545756,cumulative_probability,17.574912747934643,18.007438184194967,17.574912747934643,-0.030258143742685206,17.574915253535547,,17.906143939074294,11.29233434991502,3.6050445231662733,3.3382172607889773,0.16781713071267876,0.16917615490945204,0.10479724519318391,0.7494998208879033,18.974333333333334,405,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.7,0.6875480399692544,0.6827617123064584,0,0,6.097351099999742,17.574914698589218,16.42911614091928,-1.1457985576699379,cumulative_probability,17.57491469858922,18.007440125096274,17.57491469858922,-0.03024943347554654,17.574915253291778,,17.887904539123674,11.326912916975592,3.6120800760323295,3.3499334714897917,0.16633528466621347,0.1682743736073116,0.10954121595983092,0.7597088563142873,18.570333333333334,408,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.8,0.7832436587240584,0.7735708306920741,0,0,2.017586200000096,17.574914026067535,16.2382429181747,-1.3366711078928368,cumulative_probability,17.574914026067532,18.007439455937195,17.574914026067532,-0.030233726938604377,17.57491525331761,,17.70473625395691,11.540042327724745,3.6240634561475122,3.4108284604209627,0.1638519749027466,0.1651836315423361,0.11445330346689359,0.7667720481573954,18.216333333333335,402,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,metric,0,50,20.0,1.0,0.9,0.8814373558800922,0.875527522212844,0,0,4.069215600000007,17.574913029184746,16.241289102269175,-1.3336239269155712,cumulative_probability,17.574913029184746,18.007438464038824,17.574913029184746,-0.03020511838258244,17.57491525412404,,17.707763851031984,11.600315967187436,3.6438180381312333,3.4332829116385897,0.16283287151429224,0.16479515291544547,0.12256868009692291,0.7414470387533472,18.378666666666668,388,,,,,,,,
red_qwen,dataset_red_team,attack_default_attack_qwen25_14b_instruct_lm_target_qwen25_14b_instruct_judge_llm-judge_qwen25_14b_instruct,lpb,0,50,20.0,1.0,0.1,0.11958703756811012,0.15406064275585157,5,0,4.040179499999795,18.156898061513438,17.00142349856251,-1.1554745629509284,cumulative_probability,18.156898061500705,18.4148135711932,18.156898061500705,-0.054160432700882666,18.156949152258324,,17.883639264856132,4.656201350409598e-13,0.004256197107288391,0.0044782988760896075,0.12831549084530153,0.22016572383120192,0.04378960191432264,0.09933333333343704,18.565333333333335,679,892.0,0.07953358348066383,89.83333333333333,892.0,0.07953358348066383,89.83333333333333,3.465894238274814e-13,0.0
