dataset,model,budget,target,n1,crc,method,seeds,coverage_mean,coverage_var,mean_A_weight,mean_A_weight_minus1,cond_var,seq_path_var,expected_cost,realized_cost,pi_min,focus_lift,target_rate,soft_proxy
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Endpoint/block + terminal residual AHT,50,0.6979733335971833,0.0003191057369302866,1.6500793390976116,0.6608475266136984,2.202825088712328,0.6608475266136984,19.66218379912233,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Endpoint/block + terminal residual AHT + CRC,50,0.6996577791372935,0.000492383158992749,2.353546942088921,1.0088362561110233,3.3627875203700777,1.0088362561110233,15.94654319187197,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Information-gain + sequential AHT,50,0.7006066644191742,0.00032688304444559784,10.146390787817658,2.9904064625029076,2.745043255085581,0.8235129765256743,20.554932889403673,,0.005,2.0322179666064475,,0.9488555550358229
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Information-gain + sequential AHT + CRC,50,0.7036133325099945,0.0007014936087567129,14.695258109951755,4.551370479663223,5.3175325728390535,1.595259771851716,12.973288722374145,,0.005,1.9858142493821704,,1.8746557712533036
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Oracle,50,0.6991066658496856,0.00013830129716024367,0.3019933333333333,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Residual + sequential AHT,50,0.6990666615962983,0.0004837233403439343,13.804755988983693,4.034633760350487,3.0750579934110736,0.9225173980233221,20.428438855765165,,0.005,2.087066918537891,,36.49553613754174
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Residual + sequential AHT + CRC,50,0.6975066649913788,0.0006679376289550932,19.661889769762443,5.989319377108809,6.342529607585158,1.9027588822755472,12.984495915703157,,0.005,2.069828828205796,,81.73419530619235
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Soft-prefix DAPRO,50,0.7099933338165283,0.001957820901454788,4.5813617863010885,1.4825942087244386,14.311539287670296,4.293461786301089,20.096111152607595,,0.005,2.2608527497565127,,3.875094754314889
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Soft-prefix DAPRO + CRC,50,0.7004066705703735,0.0036947543126170162,8.940407044680342,3.0151474238064866,28.807423482267808,8.642227044680341,13.208633534173988,,0.005,2.2386723807863156,,7.685365402916368
autoif,llama_31_8B_instruct,20.0,0.7,50,25,Static,50,0.699579998254776,0.0006175908444604399,2.9867999554932125,1.351667488674289,4.505558295580964,1.351667488674289,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Endpoint/block + terminal residual AHT,50,0.6979733335971833,0.0003191057369302866,1.6500793390976116,0.6608475266136984,2.202825088712328,0.6608475266136984,19.66218379912233,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Endpoint/block + terminal residual AHT + CRC,50,0.6996577791372935,0.000492383158992749,2.353546942088921,1.0088362561110233,3.3627875203700777,1.0088362561110233,15.94654319187197,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Information-gain + sequential AHT,50,0.7022733354568481,0.00039238861901039044,9.752965682754759,2.900785473723196,2.575613859544004,0.7726841578632012,20.400151265003693,,0.005,2.0397255634660683,,0.8961440138827556
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Information-gain + sequential AHT + CRC,50,0.69874666929245,0.0004974128965607622,12.653164889726398,3.795699489480197,3.9319735775314,1.17959207325942,16.676976958287657,,0.005,2.0241777568950607,,1.359276505091584
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Oracle,50,0.6991066658496856,0.00013830129716024367,0.3019933333333333,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Residual + sequential AHT,50,0.7016333305835724,0.00023931640553987018,12.926243407115043,3.8013506733900755,2.7130135021690522,0.8139040506507158,20.350253881310707,,0.005,2.0707269181556414,,33.43359942209166
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Residual + sequential AHT + CRC,50,0.6991866672039032,0.0005504362451653042,16.188728589596224,4.816611771528617,4.1700558270522246,1.251016748115667,16.71994391756115,,0.005,2.0782165855559542,,51.752760138725236
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Soft-prefix DAPRO,50,0.6944066679477692,0.0015735430336789014,4.347091616249587,1.3769004156844946,13.477305387498623,4.043191616249588,20.236645106462273,,0.005,2.1913953529827275,,2.72239138695917
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Soft-prefix DAPRO + CRC,50,0.7028666651248932,0.0024085668261567533,6.173623994251253,2.037168207797153,19.59219109194862,5.877657327584586,16.806460516950693,,0.005,2.2494412455347796,,4.8517165203240395
autoif,llama_31_8B_instruct,20.0,0.7,100,50,Static,50,0.699579998254776,0.0006175908444604399,2.9867999554932125,1.351667488674289,4.505558295580964,1.351667488674289,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Endpoint/block + terminal residual AHT,50,0.6979733335971833,0.0003191057369302866,1.6500793390976116,0.6608475266136984,2.202825088712328,0.6608475266136984,19.66218379912233,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Endpoint/block + terminal residual AHT + CRC,50,0.6996577791372935,0.000492383158992749,2.353546942088921,1.0088362561110233,3.3627875203700777,1.0088362561110233,15.94654319187197,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Information-gain + sequential AHT,50,0.6954800045490265,0.0004762909887422013,10.425261580895976,3.120206113726338,3.1954105006260307,0.9586231501878092,20.19865645823165,,0.005,2.011857390054652,,1.114005630196056
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Information-gain + sequential AHT + CRC,50,0.7023533308506011,0.000513992760490316,12.290372551493494,3.7489545946889193,3.9002382558700317,1.1700714767610094,18.38390297806429,,0.005,2.027739090126246,,1.4033891527777231
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Oracle,50,0.6991066658496856,0.00013830129716024367,0.3019933333333333,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Residual + sequential AHT,50,0.69992666721344,0.00035310788027241124,13.42125204768838,4.0070474660482525,3.3086950661061327,0.9926085198318398,20.168567665103325,,0.005,2.017208512024407,,43.07430347780828
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Residual + sequential AHT + CRC,50,0.7025066637992858,0.00040148411870737094,15.561077386203378,4.694893958804295,4.033020116058828,1.2099060348176485,18.382696592228807,,0.005,2.057874285174381,,53.05404059970767
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Soft-prefix DAPRO,50,0.702246664762497,0.001787849463885633,4.44404844277332,1.5068521111018172,13.826272587022176,4.1478817761066535,20.174719724972487,,0.005,2.1237016330804117,,2.8725206703038384
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Soft-prefix DAPRO + CRC,50,0.6965800023078919,0.00274045257411359,5.888884886141151,1.945593209067129,18.623705176026057,5.587111552807817,18.462488735644865,,0.005,2.175868127953962,,3.883975126708624
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Static,50,0.699579998254776,0.0006175908444604399,2.9867999554932125,1.351667488674289,4.505558295580964,1.351667488674289,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Endpoint/block + terminal residual AHT,50,0.7995133340358734,0.0003101324515931403,1.2594734490243011,0.58276187046507,1.9425395682169,0.58276187046507,19.916421727716507,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Endpoint/block + terminal residual AHT + CRC,50,0.7989622251192728,0.0004578113872909532,1.848908175074121,0.9042494241145651,3.01416474704855,0.9042494241145651,15.864132269583333,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Information-gain + sequential AHT,50,0.7988733339309693,0.00019013563847451265,8.198947098997904,2.9012094172667644,2.378208714383966,0.7134626143151899,19.097489467422744,,0.005,2.1115788714635184,,0.7800784178040339
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Information-gain + sequential AHT + CRC,50,0.7973200023174286,0.0007560953897105308,10.751614992642544,3.8842796281467673,4.23845726086061,1.271537178258183,12.93340444179273,,0.005,2.1669428624146017,,1.4458112941480445
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Oracle,50,0.7988466715812683,7.98421736330548e-05,0.2411933333333333,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Residual + sequential AHT,50,0.7982400000095368,0.0003925716612940639,11.935051392059643,4.199513343477943,2.6185263576706417,0.7855579073011925,18.97770546652557,,0.005,2.2024258143586675,,28.663239076400817
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Residual + sequential AHT + CRC,50,0.8020799958705902,0.00038864655861894194,14.712694411833736,5.276438145273729,4.143058531870691,1.2429175595612074,12.928143228041368,,0.005,2.282268149978918,,56.25871467580821
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Soft-prefix DAPRO,50,0.8058466637134551,0.0010016835016754995,2.768311680350467,1.0651313712424695,8.583883378946002,2.5751650136838005,18.973834281120972,,0.005,2.363708872293197,,2.565925720529788
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Soft-prefix DAPRO + CRC,50,0.8086266672611236,0.0011039211600921538,4.413677245702789,1.7426630008677544,14.077524152342628,4.223257245702788,13.080780497474455,,0.005,2.482592916046998,,4.4804390571722505
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Static,50,0.7994000017642975,0.0004808345213544689,1.9986666368842128,0.9868801436156511,3.289600478718837,0.9868801436156511,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Endpoint/block + terminal residual AHT,50,0.7995133340358734,0.0003101324515931403,1.2594734490243011,0.58276187046507,1.9425395682169,0.58276187046507,19.916421727716507,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Endpoint/block + terminal residual AHT + CRC,50,0.7989622251192728,0.0004578113872909532,1.848908175074121,0.9042494241145651,3.01416474704855,0.9042494241145651,15.864132269583333,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Information-gain + sequential AHT,50,0.8013266706466675,0.00020472777522695336,8.563208325695646,3.034689838056301,2.2681182178915638,0.6804354653674691,19.467723394064546,,0.005,2.0743312464181405,,0.7777535984710284
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Information-gain + sequential AHT + CRC,50,0.7984066653251648,0.0002778244047772206,9.935555741604736,3.5679225539610657,3.2386055258126394,0.971581657743792,16.5134470905523,,0.005,2.106418713577122,,1.0811300088252318
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Oracle,50,0.7988466715812683,7.98421736330548e-05,0.2411933333333333,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Residual + sequential AHT,50,0.7971600043773651,0.00040123026683844954,12.014487857828648,4.199524597531493,2.4925658419762744,0.7477697525928824,19.397527605390415,,0.005,2.1406675371181176,,29.65808861128245
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Residual + sequential AHT + CRC,50,0.7983000016212464,0.0005041960386724946,13.503749731239965,4.792591080300119,3.350449727067463,1.005134918120239,16.498710702994426,,0.005,2.1964650532560195,,40.30461710123683
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Soft-prefix DAPRO,50,0.8039733338356018,0.0007095093919479194,2.2287922642554685,0.9042743719852799,6.780151991962673,2.034045597588802,19.419819044469833,,0.005,2.2898055301856393,,2.1335477934272635
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Soft-prefix DAPRO + CRC,50,0.8092666649818421,0.0014587935073513516,3.2458822559528486,1.326117314567089,10.190940853176164,3.0572822559528494,16.511248146975127,,0.005,2.355895188717127,,3.23822811803569
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Static,50,0.7994000017642975,0.0004808345213544689,1.9986666368842128,0.9868801436156511,3.289600478718837,0.9868801436156511,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Endpoint/block + terminal residual AHT,50,0.7995133340358734,0.0003101324515931403,1.2594734490243011,0.58276187046507,1.9425395682169,0.58276187046507,19.916421727716507,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Endpoint/block + terminal residual AHT + CRC,50,0.7989622251192728,0.0004578113872909532,1.848908175074121,0.9042494241145651,3.01416474704855,0.9042494241145651,15.864132269583333,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Information-gain + sequential AHT,50,0.8010333347320556,0.00026957926026416725,8.575766837310436,3.0699665528707003,2.5436870118026307,0.7631061035407893,19.870133249320116,,0.005,2.0464559118529277,,0.9065392448094588
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Information-gain + sequential AHT + CRC,50,0.8019466674327851,0.0003440242633071989,10.515855832260408,3.7881398944779274,3.192767557295819,0.9578302671887456,18.443794962253865,,0.005,2.064667730892127,,1.1509824419751358
