task,cut_quantile,setups,mean_variance_ratio,geometric_variance_ratio,median_variance_ratio,wins_vs_median,expected_cost,expected_cost_max,mean_abs_raw_projection_gap,fit_low_share,deploy_low_share,coverage_variance_pp2,coverage_mse_pp2
lpb,0.1,4,1.0902508563794662,1.0865069374897844,1.0886415870802564,0,19.17223344273609,21.244065524938726,1.3515541651355376,0.11469011878858808,0.13302408735947827,0.7898055555555547,0.7190000000000009
lpb,0.2,4,1.05645352139942,1.0547419690245445,1.0410509784496669,0,19.136311586075465,21.16443634194762,1.293178801078772,0.20842221231930966,0.22475486827675906,0.7898055555555547,0.7190000000000009
lpb,0.3,4,1.0284778940864132,1.0279990140698136,1.0188940555369421,0,19.146996495068812,21.116273060699243,1.2906379146740596,0.3051650079616606,0.32054215122830154,0.7898055555555547,0.7190000000000009
lpb,0.4,4,1.0202777771754041,1.0200711483612699,1.0179509097212396,0,19.157224640899972,21.109530827663875,1.3009379663158316,0.39885530972279787,0.41421541338101403,0.7898055555555547,0.7190000000000009
lpb,0.5,4,1.0,1.0,1.0,0,19.176741007700834,21.03935451797608,1.3014706305697765,0.4887027189433313,0.5057371860130779,0.7898055555555547,0.7190000000000009
lpb,0.6,4,0.9964652258248499,0.9963379245309505,1.0,1,19.178035530058587,21.07078973382086,1.3249878957094903,0.5906225059427201,0.5977571524841663,0.7898055555555547,0.7190000000000009
lpb,0.7,4,0.9818439509071987,0.9816518559767109,0.9866585266420476,3,19.18714861019133,21.078928283940883,1.3311700668317838,0.6886487225250839,0.6916432019699991,0.7898055555555547,0.7190000000000009
lpb,0.8,4,0.9777868403223462,0.97738429025048,0.9897132056116755,4,19.144918890843883,21.11424735752608,1.304408950687682,0.7810556033462084,0.7857019236769969,0.7898055555555547,0.7190000000000009
lpb,0.9,4,0.9633649944771807,0.9625916250100021,0.9716950509677279,3,19.151347988630825,21.094917575585782,1.3013020979617367,0.8791236116981563,0.878467396953991,0.7898055555555547,0.7190000000000009
metric,0.1,4,1.0237944802653633,1.0236444752845855,1.025381213056992,1,20.28308504862497,29.571522013525367,2.3320340898119443,0.11923679948878566,0.13484708452733987,,
metric,0.2,4,1.0061169072653209,1.0060515390397522,1.002944839633341,2,20.267304527246125,29.794669700343917,2.241076554335221,0.21067071027256457,0.22393999427670827,,
metric,0.3,4,1.0030469605633248,1.0029867449932144,1.0011761469093798,2,20.231488559100853,30.18932847847172,2.2934389186480533,0.30880960825420556,0.32307396352004086,,
metric,0.4,4,1.0020080329214878,1.0019895937543175,1.0025685447536894,2,20.187335612792538,30.313800855123866,2.242983408224369,0.39881243632074376,0.4188287224591211,,
metric,0.5,4,1.0,1.0,1.0,0,20.249230181688855,30.335099402533768,2.2742068643949542,0.4871765375007348,0.5040791037645832,,
metric,0.6,4,0.998217717072643,0.9982161866390709,0.9974961113719603,3,20.304172058910495,30.34339060183446,2.283961886668588,0.5882458630139686,0.5947819995387325,,
metric,0.7,4,0.9991125221588288,0.9990848565004125,0.9973401322744535,2,20.311624013936505,30.374068566347525,2.2562363946398643,0.6845546452591517,0.6840957929412143,,
metric,0.8,4,1.0046278611386876,1.0045716817554007,1.0023403194395266,2,20.262514960910423,30.412835991162503,2.160543935400268,0.7763875890621479,0.7747954008475701,,
metric,0.9,4,1.0111340955219716,1.0110497168112296,1.0074488281809109,1,20.223982810831252,30.23885529685898,2.0502666364103925,0.8741274540245716,0.8661762136738843,,
