setup_key,task,cut_quantile,splits,exact_variance,exact_variance_sd,expected_cost,expected_cost_max,realized_cost,raw_projection_gap,raw_projection_abs_gap,fit_low_share,deploy_low_share,fit_surrogate,deploy_surrogate,estimator_variance,coverage_variance_pp2,coverage_mse_pp2,selected_exact_variance,switch_rate,median_exact_variance,median_expected_cost,median_coverage_variance_pp2,exact_variance_ratio_to_median
autoif_qwen,lpb,0.1,5,0.00960939925772206,0.011006256491827734,18.869611020437443,19.91636232971311,18.8876,-0.15299028835666525,0.8374415821046473,0.11089337498521305,0.11200418834590335,0.0036540389085215597,0.0062724044817268395,5.800000000014012e-06,1.6363333333333347,1.3286666666666682,3.494837505810564e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,1.1837202513573526
autoif_qwen,lpb,0.2,5,0.008784465526786779,0.009357589055785792,18.81340262184728,19.886453845626967,18.7896,-0.21459408296702803,0.7404517363997272,0.20726413476948397,0.2122189343610838,0.00361751648007416,0.006218863652621221,5.800000000014012e-06,1.6363333333333347,1.3286666666666682,3.495550515708601e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,1.0821019568993335
autoif_qwen,lpb,0.3,5,0.00842472728906246,0.008694829686847027,18.83362886323551,20.001980652207088,18.980399999999996,-0.19159607719651778,0.724435224518108,0.30370504301846474,0.30555358383845943,0.00358188133234008,0.00609079521080174,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.496263525606638e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,1.0377881110738842
autoif_qwen,lpb,0.4,5,0.00848497215186938,0.008786347246718321,18.895001849162654,20.026455565470812,19.02273333333333,-0.12341095723175641,0.7617683717754247,0.3996783757744905,0.3975160255841975,0.00356809404753696,0.005987688249596159,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.4965526770254957e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,1.0452092892591378
autoif_qwen,lpb,0.5,5,0.00811796473592736,0.008054747100268813,18.94553352707317,19.99522083649754,18.925266666666666,-0.06750059374158254,0.7547303373876808,0.4897566370790477,0.48172537003537014,0.0035548239847678605,0.00590685478496894,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.4971206177816487e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,1.0
autoif_qwen,lpb,0.6,5,0.00823822899266422,0.008310249536073752,18.9263918668052,20.035923868211448,18.9266,-0.08923930434109123,0.8478671793150845,0.5917110140757317,0.5784983048165205,0.0035494256884556603,0.00601087443178724,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.4971206177816487e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,1.0148145823059085
autoif_qwen,lpb,0.7,5,0.007901706173680741,0.007611301705576736,18.976408143973938,20.054616130204995,18.88433333333333,-0.034385017592197545,0.8704260936853363,0.6908104169275748,0.6777678775857181,0.0035580472521013,0.0058459481675912,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.496975548639764e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,0.9733604949908772
autoif_qwen,lpb,0.8,5,0.00795182874866166,0.007679829131906258,18.859102053275997,19.813653756571647,18.76226666666667,-0.1639352557723516,0.769517097625253,0.7841252550807383,0.7787069903021333,0.00358251370036742,0.00590232234763114,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.49639921953187e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,0.9795347734721686
autoif_qwen,lpb,0.9,5,0.0076591128962224,0.007039893041474654,18.875764278813524,19.76178152642324,18.706066666666665,-0.1455270924006143,0.7442535916521876,0.8836220849608264,0.8810384317770211,0.00363036999643064,0.00586273525736938,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,3.495541140491949e-13,0.0,0.00811796473592736,18.94553352707317,1.6363333333333347,0.94347698534902
autoif_qwen,metric,0.1,5,7.069903236232632,1.2058865392476983,19.028748001791087,20.797505409587547,19.066866666666666,0.001829539366584848,1.4255688502003596,0.10883122732245873,0.11405264273913347,1.5207479784283109,1.5443619032750164,0.0002801653335763362,,,,,6.7640685084743435,19.497383069202137,,1.0452146112025809
autoif_qwen,metric,0.2,5,6.9292557616701345,1.1312084434503835,19.09320360614509,20.944478502411,19.11313333333333,0.0698889553739193,1.3781958715356992,0.20666355771385364,0.2182314209450534,1.499798287092176,1.5089651454176674,0.0007400576624410516,,,,,6.7640685084743435,19.497383069202137,,1.024421286240498
autoif_qwen,metric,0.3,5,6.885812218019241,1.1055867252133469,19.131225493913323,21.18278643744253,18.9988,0.10995949347038865,1.4388309840438183,0.30375282547848564,0.31220729122745655,1.4831855289162166,1.486358243471537,0.000711122978639583,,,,,6.7640685084743435,19.497383069202137,,1.0179985920296892
autoif_qwen,metric,0.4,5,6.814482329791126,1.200514054972579,19.3417055230449,21.86330037118136,19.2734,0.33044310201967697,1.6688291890032336,0.3992922426777747,0.4053994692321984,1.4710731414909022,1.4584210855584683,0.0008045886953542878,,,,,6.7640685084743435,19.497383069202137,,1.0074531801760467
autoif_qwen,metric,0.5,5,6.7640685084743435,1.2729255557012444,19.497383069202137,22.49732617214405,19.220533333333332,0.49355345453115973,1.8190937091304362,0.49039915675331275,0.4830023355166412,1.4643736948531458,1.4401511530618658,0.0011418286560946527,,,,,6.7640685084743435,19.497383069202137,,1.0
autoif_qwen,metric,0.6,5,6.772126668878795,1.3067237346276037,19.5238378757521,22.806300707555128,19.267666666666667,0.5212208911850074,1.8321329814566152,0.5935628458966213,0.5782007352532471,1.4625350063422942,1.4348774621991989,0.0005977047897563685,,,,,6.7640685084743435,19.497383069202137,,1.001191318567273
