task,selector,setups,mean_selected_q,mean_variance_ratio,geometric_variance_ratio,wins_vs_median,expected_cost,coverage_variance_pp2,coverage_mse_pp2
lpb,deployment_oracle,4,0.455,0.9589366603289253,0.9579884553124831,4,19.15887107587243,0.7898055555555547,0.7190000000000009
lpb,fixed_median,4,0.5,1.0,1.0,0,19.176741007700834,0.7898055555555547,0.7190000000000009
lpb,phase1_erm,4,0.375,1.041705846132699,1.0398263862062607,0,19.170780922814266,0.7898055555555547,0.7190000000000009
metric,deployment_oracle,4,0.48,0.9770457381263596,0.9770053635102456,4,20.65408313387665,,
metric,fixed_median,4,0.5,1.0,1.0,0,20.249230181688855,,
metric,phase1_erm,4,0.475,1.0031963715514547,1.00318516098873,2,20.17125927190316,,
